City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,sawa sawa,-4.4717,39.4846,25.36,85,91,1.26,KE,1702335353
276,ingeniero guillermo n. juarez,-23.9,-61.85,30.29,53,61,2.49,AR,1702335354
277,sambava,-14.2667,50.1667,24.49,90,35,3.74,MG,1702335355
278,zawoja,49.644,19.5423,3.48,31,95,4.82,PL,1702335356
279,lemoore,36.3008,-119.7829,17.04,46,0,3.09,US,1702335357
280,siwa oasis,29.2041,25.5195,14.02,78,86,1.93,EG,1702335358
281,tobol'sk,58.2,68.2667,-29.11,97,6,2.68,RU,1702335360
282,lamu,-2.2717,40.902,26.12,87,94,3.17,KE,1702335264
283,woolgoolga,-30.1106,153.2007,26.69,67,25,1.81,AU,1702335362
284,dunay,42.8803,132.3375,-12.38,63,84,11.52,RU,1702335363
285,whakatane,-37.9585,176.9854,21.05,61,3,3.58,NZ,1702335365
286,yacuiba,-22.038,-63.6797,27.89,58,91,3.85,BO,1702335366
287,bardai,11.65,7.2333,15.46,31,0,4.27,NG,1702335367
288,jinjiang,24.8198,118.5741,20.57,83,60,6.58,CN,1702335368
289,bandon,51.7469,-8.7425,9.77,91,100,4.7,IE,1702335371
290,dryden,49.7833,-92.7503,-5.84,93,100,6.17,CA,1702335372
291,safford,32.834,-109.7076,16.53,14,0,2.57,US,1702335374
292,vorgashor,67.5833,63.95,-18.23,89,100,6.25,RU,1702335375
293,kpandae,8.4689,-0.0113,26.28,19,2,1.18,GH,1702335376
294,st. paul,44.9444,-93.0933,0.99,83,0,3.09,US,1702335236
295,pullman,46.7313,-117.1796,6.13,94,100,0.0,US,1702335379
296,haldensleben i,52.2891,11.4098,10.57,84,96,6.41,DE,1702335380
297,corinto,37.9407,22.9573,9.38,82,11,1.98,GR,1702335382
298,uray,60.1247,64.7758,-32.85,96,68,0.89,RU,1702335383
299,prado,-17.3411,-39.2208,25.51,83,86,6.48,BR,1702335385
300,tadine,-21.55,167.8833,24.74,62,95,6.58,NC,1702335386
301,brisas de zicatela,15.8369,-97.0419,29.29,58,40,1.54,MX,1702335387
302,albunol,36.792,-3.205,18.1,48,80,1.34,ES,1702335388
303,hastings,50.8552,0.5729,10.85,96,8,4.53,GB,1702335390
304,bodaybo,57.8506,114.1933,-28.21,99,100,0.38,RU,1702335391
305,cockburn town,21.4612,-71.1419,25.98,78,40,6.17,TC,1702335392
306,brownsfield,30.5466,-91.1207,14.89,43,5,0.56,US,1702335393
307,aksuat,48.7167,83.7,-11.69,94,100,1.63,KZ,1702335394
308,flin flon,54.7682,-101.865,-9.09,62,75,7.72,CA,1702335395
309,sampit,-2.5333,112.95,24.63,96,60,0.32,ID,1702335397
310,khamanon kalan,30.8186,76.3508,10.91,40,0,1.97,IN,1702335398
311,pedernales,18.0384,-71.744,26.59,73,1,4.49,DO,1702335399
312,zeribet el oued,34.6828,6.5111,15.05,54,0,1.17,DZ,1702335400
313,eenhana,-17.4667,16.3333,25.48,33,44,2.72,NA,1702335135
314,toliara,-23.35,43.6667,25.06,71,58,2.59,MG,1702335403
315,crane,31.3974,-102.3501,16.15,18,11,2.86,US,1702335404
